profile,split,kind,source,metric,count,min,p10,p25,median,p75,p90,max,mean
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,fillRatio,1,0.171642,0.171642,0.171642,0.171642,0.171642,0.171642,0.171642,0.171642
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,pixelArea,1,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
texture_noise_compact_circularity_area8,train-validation,false_positive,predicted,ringProminence,1,11.761194,11.761194,11.761194,11.761194,11.761194,11.761194,11.761194,11.761194
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,area,38,9.0,49.85,67.0,133.75,209.375,405.45,1433.0,203.684211
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,circularity,38,0.037887,0.062,0.083584,0.137217,0.193998,0.297565,0.436247,0.163103
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,componentMean,38,26.793103,30.596604,33.273119,36.715789,41.709364,46.405006,50.987805,37.830773
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,componentPeak,38,46.0,67.2,97.75,150.5,165.5,181.5,194.0,134.105263
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,elongation,38,1.0,1.085417,1.155385,1.409207,1.972222,3.075,8.272727,1.893564
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,fillRatio,38,0.164706,0.23609,0.264885,0.34262,0.422127,0.500051,0.622857,0.35515
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,pixelArea,38,17.0,80.2,108.5,179.5,274.75,455.0,1554.0,258.026316
texture_noise_compact_circularity_area8,train-validation,true_positive,predicted,ringProminence,38,36.666667,55.847756,87.77266,138.891962,152.509653,170.02555,183.044643,123.267908
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,area,2,0.0,6.95,17.375,34.75,52.125,62.55,69.5,34.75
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,circularity,2,0.0,0.016447,0.041119,0.082237,0.123356,0.148027,0.164474,0.082237
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,componentMean,2,7.0,7.473786,8.184466,9.368932,10.553398,11.264078,11.737864,9.368932
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,componentPeak,2,7.0,10.9,16.75,26.5,36.25,42.1,46.0,26.5
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,elongation,2,1.0,1.166667,1.416667,1.833333,2.25,2.5,2.666667,1.833333
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,fillRatio,2,0.0,0.018099,0.045248,0.090495,0.135743,0.162891,0.18099,0.090495
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,pixelArea,2,1.0,11.2,26.5,52.0,77.5,92.8,103.0,52.0
texture_noise_prominence_guard,train-validation,false_negative,ground_truth,ringProminence,2,-4.5,-0.361594,5.846015,16.192029,26.538044,32.745652,36.884058,16.192029
texture_noise_prominence_guard,train-validation,false_positive,predicted,area,26767,4.0,4.0,4.5,6.0,9.0,15.0,476.0,8.548493
texture_noise_prominence_guard,train-validation,false_positive,predicted,circularity,26767,0.006613,0.040835,0.065874,0.117911,0.21572,0.359613,0.857372,0.163539
texture_noise_prominence_guard,train-validation,false_positive,predicted,componentMean,26767,14.25,20.066667,21.212121,22.5625,24.088235,25.782134,59.666667,22.807719
texture_noise_prominence_guard,train-validation,false_positive,predicted,componentPeak,26767,19.0,29.0,32.0,36.0,41.0,47.0,176.0,37.287742
